m,alpha,I_m
32,0.039285469324512,0.324302618519400
32,0.041740811157294,0.317182127204332
32,0.044196152990077,0.310262565766150
32,0.046651494822859,0.303387608634360
32,0.049106836655641,0.296512651502571
32,0.051562178488423,0.289745563619062
32,0.054017520321205,0.283116140670551
32,0.056472862153987,0.276486717722039
32,0.058928203986769,0.269857294773528
32,0.061383545819551,0.263352806113086
32,0.063838887652333,0.256968917347853
32,0.066294229485115,0.250585028582620
32,0.068749571317897,0.244201139817387
32,0.071204913150679,0.237835375514595
32,0.073660254983461,0.231697020932640
32,0.076115596816243,0.225558666350685
32,0.078570938649025,0.219420311768729
32,0.081026280481807,0.213281957186774
32,0.083481622314589,0.207205437412234
32,0.085936964147371,0.201312617013558
32,0.088392305980153,0.195419796614881
32,0.090847647812935,0.189526976216204
32,0.093302989645717,0.183634155817527
32,0.095758331478499,0.177796381753859
32,0.098213673311281,0.172149095538461
32,0.100669015144063,0.166501809323062
32,0.103124356976845,0.160854523107663
32,0.105579698809627,0.155207236892264
32,0.108035040642409,0.149610686956676
32,0.110490382475191,0.144208934924556
32,0.112945724307973,0.138807182892435
32,0.115401066140755,0.133405430860315
32,0.117856407973537,0.128003678828194
32,0.120311749806319,0.122701731857224
32,0.122767091639101,0.117545514008381
32,0.125222433471883,0.112389296159539
32,0.127677775304666,0.107233078310697
32,0.130133117137448,0.102076860461855
32,0.132588458970230,0.097162173932457
32,0.135043800803012,0.092251490266893
32,0.137499142635794,0.087340806601329
32,0.139954484468576,0.082437726461289
32,0.142409826301358,0.077772576979003
32,0.144865168134140,0.073107427496717
32,0.147320509966922,0.068442278014431
32,0.149775851799704,0.063918492735525
32,0.152231193632486,0.059498877436518
32,0.154686535465268,0.055079262137510
32,0.157141877298050,0.050806178516629
32,0.159597219130832,0.046632097400899
32,0.162052560963614,0.042468998322434
32,0.164507902796396,0.038540451389983
32,0.166963244629178,0.034611904457532
32,0.169418586461960,0.030894335305071
32,0.171873928294742,0.027211322555898
32,0.174329270127524,0.023769042512256
32,0.176784611960306,0.020418618372286
32,0.179239953793088,0.017226673989669
32,0.181695295625870,0.014264590852657
32,0.184150637458652,0.011487154541409
32,0.186605979291434,0.008928893420037
32,0.189061321124216,0.006618512536603
32,0.191516662956998,0.004580081835147
32,0.193972004789780,0.002870760407905
32,0.196427346622562,0.001513485594603
32,0.198882688455344,0.000559880278526
32,0.201338030288126,0.000059044096685
32,0.202480951760879,-0.000000000000000
32,0.203793372120908,0.000078220126763
32,0.206248713953690,0.000705856031933
32,0.208704055786472,0.002027854137328
32,0.211159397619255,0.004153647110314
32,0.213614739452037,0.007242810583996
32,0.216070081284819,0.011449580375410
32,0.218525423117601,0.016992432924020
32,0.220980764950383,0.024143643219156
32,0.223436106783165,0.033245282657473
32,0.225891448615947,0.044763301361652
32,0.228346790448729,0.059335506948119
32,0.230802132281511,0.077899769044200
32,0.233257474114293,0.101959245345908
32,0.235712815947075,0.131198097582752
32,0.238168157779857,0.160662199576136
32,0.240623499612639,0.190126301569521
32,0.243078841445421,0.219590403562905
32,0.245534183278203,0.249054505556289
